j,trajectory,M,S,D
354,"1 2 3 -2 -2 -1 2 3 -2 -3 -3 2",192,1,0
355,"1 2 3 2 3 3 -1 -3 -3 -2 -3 -2",96,1,-256
356,"1 2 3 2 -3 -2 -1 3 3 -2 -3 -3",192,1,0
357,"1 2 3 3 -1 -2 -3 -3 2 3 -2 -3",192,1,256
358,"1 2 3 3 -2 -2 -3 2 3 -1 -3 -3",192,1,256
359,"1 2 3 -2 -3 -2 3 3 2 -1 -3 -3",192,1,0
360,"1 2 3 -2 -2 -3 2 3 3 -1 -3 -3",192,1,256
361,"1 2 3 -1 3 2 -3 -3 -3 -2 -2 3",192,1,-256
362,"1 2 3 2 -3 -2 3 3 -1 -3 -3 -2",192,1,256
363,"1 2 3 -2 3 -1 3 -2 -3 -3 -3 2",192,1,-256
364,"1 2 3 3 -1 -3 -2 -3 2 -3 -2 3",192,1,-128
365,"1 2 3 2 3 -2 -3 -1 -3 -3 -2 3",192,1,128
366,"1 2 3 -2 3 2 -1 3 -2 -3 -3 -3",192,1,-256
367,"1 2 2 3 -2 -3 -1 -3 -3 -2 3 3",192,1,256
368,"1 2 3 -2 -3 -3 -1 3 -2 3 2 -3",192,1,-128
369,"1 2 -1 3 -2 -3 2 -3 -3 -2 3 3",192,1,0
370,"1 2 3 -1 -3 -3 -3 -2 -2 3 2 3",192,1,-256
371,"1 2 3 -2 -3 2 -3 -3 -1 3 3 -2",192,1,256
372,"1 2 3 -2 -3 -2 -3 -3 -1 2 3 3",192,1,0
373,"1 2 3 2 -3 -3 2 3 -2 -1 -2 -2",192,1,0
374,"1 2 3 -2 -3 -1 3 3 -2 -3 -3 2",192,1,0
375,"1 2 3 2 -3 -3 -2 -3 -1 3 3 -2",192,1,-256
376,"1 2 3 3 -1 -3 -3 -2 -2 3 2 -3",192,1,256
377,"1 2 3 -2 -1 2 2 3 -2 -3 -3 -2",192,1,256
378,"1 2 3 -1 -2 -3 -3 -3 2 3 3 -2",192,1,256
379,"1 2 3 -2 -3 -2 -3 -1 3 3 2 -3",192,1,-128
380,"1 2 3 -1 -3 -3 2 3 3 -2 -2 -3",192,1,256
381,"1 2 3 2 3 -2 3 -1 -3 -2 -3 -3",192,1,-128
382,"1 2 3 2 -3 -3 -2 -1 -3 -2 3 3",192,1,0
383,"1 2 3 -2 -2 -3 -3 -1 3 3 2 -3",192,1,-256
384,"1 2 3 -1 3 3 -2 -2 -3 -3 -3 2",192,1,-512
385,"1 2 3 -2 -3 -3 -1 2 3 3 -2 -3",192,1,256
386,"1 2 3 3 2 -3 -3 -2 -1 -3 -2 3",192,1,0
387,"1 2 3 -1 -3 -3 -2 -2 -3 2 3 3",192,1,256
388,"1 2 3 2 3 3 -2 -1 -3 -3 -3 -2",192,1,-256
389,"1 2 3 3 3 -2 -2 -1 -3 2 -3 -3",192,1,-512
390,"1 2 3 3 -2 -3 -2 -3 -1 3 2 -3",192,1,-128
391,"1 2 3 -2 -1 3 3 2 -3 -2 -3 -3",192,1,0
392,"1 2 3 -2 -3 -3 -3 2 3 3 -1 -2",192,1,256
393,"1 2 3 3 2 3 -1 -3 -3 -2 -2 -3",192,1,-256
394,"1 2 3 -2 -3 -3 2 -1 -3 -2 3 3",192,1,256
395,"1 2 3 2 -1 -2 3 -2 -3 2 -3 -2",192,1,-128
396,"1 2 2 3 3 -2 3 -1 -3 -3 -2 -3",192,1,-256
397,"1 2 3 -2 -3 -3 -1 3 2 -3 -2 3",192,1,-128
398,"1 2 3 3 3 2 -3 -3 -3 -1 -2 -2",192,1,-512
399,"1 2 3 3 3 -2 -3 -3 -3 2 -1 -2",96,1,512
400,"1 2 3 2 -3 -1 3 3 -2 -3 -2 -3",192,1,-128
401,"1 2 3 2 -3 -2 3 -2 -3 -3 -1 3",192,1,-128
402,"1 2 3 2 3 3 -2 -3 -1 -3 -3 -2",192,1,0
403,"1 2 3 2 -3 -2 3 -2 3 -1 -3 -3",192,1,128
404,"1 2 3 2 -3 -3 -2 -1 -2 -2 3 2",192,1,-256
405,"1 2 3 3 -1 3 2 -3 -3 -2 -2 -3",192,1,256
406,"1 2 3 3 -2 -1 3 2 -3 -2 -3 -3",192,1,0
407,"1 2 3 -1 -3 -2 3 3 -2 -3 -3 2",192,1,0
408,"1 2 3 -2 3 -2 -3 -1 -3 -3 2 3",192,1,-128
409,"1 2 3 -2 3 -2 -3 -3 -1 -3 2 3",192,1,-128
410,"1 2 3 -2 -3 2 3 3 -1 -3 -3 -2",192,1,256
411,"1 2 2 3 -2 3 3 -1 -3 -2 -3 -3",192,1,-256
412,"1 2 3 3 -2 -3 -2 3 -1 -3 2 -3",192,1,-128
413,"1 2 3 -2 3 2 3 -2 -3 -3 -1 -3",192,1,-128
414,"1 2 3 -2 -3 -1 -3 -3 2 3 -2 3",192,1,-128
415,"1 2 3 -1 -2 -3 -3 -2 3 3 2 -3",192,1,256
416,"1 2 3 -2 3 3 2 -3 -2 -1 -3 -3",192,1,256
417,"1 2 3 2 3 3 -1 -2 -3 -2 -3 -3",96,1,-256
418,"1 2 3 2 -3 -3 -3 -2 -1 3 -2 3",192,1,-256
419,"1 2 3 -2 -3 2 -3 -3 -2 3 -1 3",192,1,128
420,"1 2 3 3 2 -3 -2 -3 -2 -2 -1 2",192,1,0
421,"1 2 3 -2 3 3 2 -3 -1 -2 -3 -3",192,1,0
422,"1 2 3 -1 2 -3 -3 -3 -2 3 3 -2",192,1,-256
423,"1 2 3 2 3 -2 -3 -2 3 -1 -3 -3",192,1,-128
424,"1 2 3 3 2 3 -1 -2 -3 -3 -3 -2",192,1,-256
425,"1 2 2 3 -1 -3 -2 -3 -3 -2 3 3",192,1,-256
426,"1 2 3 -1 3 3 -2 -2 -3 -3 2 -3",192,1,-256
427,"1 2 3 -1 3 3 -2 -3 2 -3 -2 -3",192,1,-128
428,"1 2 3 -2 3 -2 3 -1 2 -3 -3 -3",192,1,0
429,"1 2 3 -1 -3 2 -3 -2 -3 -2 3 3",192,1,-128
430,"1 2 2 3 3 -2 3 -1 -3 -2 -3 -3",192,1,-256
431,"1 2 3 -2 -3 -3 2 -3 -1 -2 3 3",192,1,256
432,"1 2 3 3 2 3 -1 -3 -3 -3 -2 -2",192,1,-512
433,"1 2 3 -2 -3 -3 -1 -3 2 3 3 -2",192,1,0
434,"1 2 2 3 -2 -2 3 3 -1 -3 -3 -3",192,1,-512
435,"1 2 3 3 -2 -1 3 2 -3 -3 -2 -3",192,1,0
436,"1 2 3 3 -1 -3 -2 -3 -2 3 2 -3",192,1,128
437,"1 2 -1 3 -2 -3 -2 -3 -3 2 3 3",192,1,0
438,"1 2 3 -2 -1 3 3 -2 -3 -3 2 -3",192,1,0
439,"1 2 3 3 -2 -3 -2 -3 2 3 -1 -3",192,1,128
440,"1 2 3 -1 -3 -2 -2 -3 -3 2 3 3",192,1,256
441,"1 2 2 -1 3 -2 -3 -3 -3 -2 3 3",192,1,0
442,"1 2 2 -1 3 3 3 -2 -2 -3 -3 -3",96,1,-1024
443,"1 2 3 -2 -3 -3 -1 3 -2 -3 2 3",192,1,-128
444,"1 2 3 -2 3 -2 -2 -1 2 -3 -3 2",192,1,0
445,"1 2 3 -2 3 -1 -3 -3 -3 2 3 -2",192,1,256
446,"1 2 3 -1 -3 -3 -2 3 3 2 -3 -2",192,1,256
447,"1 2 3 3 -2 -2 3 -1 -3 -3 2 -3",192,1,-256
448,"1 2 3 -2 -2 3 -1 3 2 -3 -3 -3",192,1,256
449,"1 2 3 -2 3 2 -3 -3 -2 3 -1 -3",192,1,128
450,"1 2 3 2 -3 -1 3 -2 3 -2 -3 -3",192,1,-128
451,"1 2 3 3 2 2 -1 -2 -3 -3 -2 -2",96,1,-512
452,"1 2 3 3 -2 -1 2 2 -3 -3 -2 -2",96,1,-512
453,"1 2 3 -2 -3 -3 2 3 -2 -3 -1 3",192,1,-128
454,"1 2 3 3 2 3 -2 -3 -2 -3 -1 -3",192,1,-128
455,"1 2 3 3 -2 3 2 -3 -3 -3 -1 -2",192,1,-256
456,"1 2 3 -2 -3 2 -1 3 3 -2 -3 -3",96,1,256
457,"1 2 3 -2 3 -1 2 3 -2 -3 -3 -3",192,1,0
458,"1 2 3 -2 3 2 3 -2 -1 -3 -3 -3",96,1,-256
459,"1 2 3 -2 3 3 -2 -3 2 -1 -3 -3",192,1,0
460,"1 2 -1 3 3 -2 -3 2 3 -2 -3 -3",96,1,256
461,"1 2 3 2 -3 2 -1 -2 3 -2 -3 -2",48,1,-128
462,"1 2 3 2 -3 -3 -1 -3 -2 -2 3 3",192,1,-256
463,"1 2 3 2 3 -2 -2 -3 -3 -3 -1 3",192,1,256
464,"1 2 3 3 3 -2 -2 -3 2 -3 -1 -3",192,1,-256
465,"1 2 3 2 -1 2 -3 -3 -2 3 -2 -2",192,1,0
466,"1 2 3 -2 3 3 -2 -3 -3 2 -1 -3",192,1,0
467,"1 2 3 3 -1 -3 -2 3 -2 -3 2 -3",192,1,-128
468,"1 2 3 3 3 2 -3 -3 -1 -3 -2 -2",192,1,0
469,"1 2 2 3 3 -2 -3 -3 -2 -3 -1 3",192,1,256
470,"1 2 3 2 -3 -2 -1 -2 -3 -2 3 2",96,1,-128
471,"1 2 3 3 -2 -3 -2 3 2 -3 -1 -3",192,1,128
472,"1 2 3 -2 3 -2 3 2 -3 -3 -1 -3",192,1,128
473,"1 2 3 -2 -3 -1 -3 -3 -2 3 2 3",192,1,128
474,"1 2 3 2 -3 -3 -3 -2 -2 -1 3 3",192,1,-512
475,"1 2 3 -2 -3 -3 -2 -3 -1 2 3 3",192,1,0
476,"1 2 3 -1 3 -2 -2 3 2 -3 -3 -3",192,1,256
477,"1 2 3 -2 -3 -2 3 3 -1 2 -3 -3",192,1,0
478,"1 2 3 2 -3 -3 2 3 -2 -2 -1 -2",192,1,0
479,"1 2 3 3 3 -1 -2 -2 -3 2 -3 -3",192,1,-512
480,"1 2 3 3 2 -3 -3 -3 -2 -2 -1 3",192,1,-512
481,"1 2 3 -1 2 3 3 -2 -3 -3 -2 -3",192,1,0
482,"1 2 3 2 -3 -3 -1 -2 3 3 -2 -3",192,1,0
483,"1 2 3 3 2 -1 3 -2 -3 -2 -3 -3",192,1,-256
484,"1 2 3 2 3 -1 -3 -2 3 -2 -3 -3",192,1,-128
485,"1 2 3 3 2 -3 -2 -2 -3 -3 -1 3",192,1,-256
486,"1 2 3 -1 3 3 2 -3 -2 -3 -2 -3",192,1,128
487,"1 2 3 -2 3 3 -2 -1 -3 -3 2 -3",192,1,-256
488,"1 2 3 -2 -3 -2 -3 -1 -3 2 3 3",192,1,-128
489,"1 2 3 -2 -3 2 -3 2 3 -2 -1 -2",192,1,0
490,"1 2 3 -2 -2 -3 -3 -1 -3 2 3 3",192,1,-256
491,"1 2 3 -2 3 3 -2 -3 -1 -3 -3 2",192,1,-256
492,"1 2 3 -2 -3 -3 -1 -3 -2 3 3 2",192,1,256
493,"1 2 3 3 2 -3 -3 -3 -1 -2 -2 3",192,1,-512
494,"1 2 -1 3 2 -3 -3 -2 -3 -2 3 3",192,1,0
495,"1 2 3 3 -2 -3 -1 -3 -2 -3 2 3",192,1,-128
496,"1 2 3 3 -2 -2 3 -1 -3 2 -3 -3",192,1,-256
497,"1 2 3 2 3 -2 -3 -3 -2 3 -1 -3",192,1,-128
498,"1 2 3 3 -2 3 -1 -3 -2 -3 -3 2",96,1,0
499,"1 2 3 -2 -3 -3 -1 2 -3 -2 3 3",96,1,0
500,"1 2 3 -2 -3 -3 -2 3 2 -3 -1 3",192,1,-128
501,"1 2 -1 3 -2 -3 -3 2 3 3 -2 -3",96,1,256
502,"1 2 3 2 -3 -2 3 2 -3 -2 -1 -2",192,1,0
503,"1 2 3 -2 -2 3 2 -3 -3 -3 -1 3",192,1,-256
504,"1 2 3 -2 3 -1 -3 -3 -3 -2 3 2",192,1,0
505,"1 2 3 2 -3 -3 -2 -1 2 3 -2 -2",192,1,-256
506,"1 2 3 3 2 3 -2 -2 -3 -1 -3 -3",192,1,-256
507,"1 2 -1 3 2 3 3 -2 -3 -2 -3 -3",192,1,-256
508,"1 2 3 3 3 2 -3 -3 -2 -3 -1 -2",192,1,-256
509,"1 2 3 -2 -2 -3 -3 2 3 -2 -1 2",192,1,0
510,"1 2 3 2 3 -2 3 -2 -3 -1 -3 -3",192,1,-128
511,"1 2 3 3 2 3 -2 -3 -3 -3 -1 -2",192,1,256
512,"1 2 3 -2 3 -1 -2 3 2 -3 -3 -3",192,1,256
513,"1 2 2 3 3 3 -1 -2 -2 -3 -3 -3",96,1,-1024
514,"1 2 3 -1 -2 -3 2 3 3 -2 -3 -3",192,1,256
515,"1 2 3 -2 3 2 -3 -3 -3 -2 -1 3",192,1,-256
516,"1 2 3 -2 -3 2 3 -2 3 -1 -3 -3",192,1,128
517,"1 2 2 3 -1 -3 -3 -3 -2 -2 3 3",192,1,-512
518,"1 2 3 2 -3 -1 -3 -3 -2 3 -2 3",192,1,-128
519,"1 2 3 2 3 -1 3 -2 -2 -3 -3 -3",192,1,-256
520,"1 2 3 2 3 -1 -3 -3 -3 -2 3 -2",192,1,-256
521,"1 2 3 -2 3 -1 3 2 -3 -3 -3 -2",192,1,0
522,"1 2 3 -2 -3 2 3 2 -3 -2 -1 -2",192,1,0
523,"1 2 3 2 3 3 -2 -1 -2 -3 -3 -3",192,1,-256
524,"1 2 3 2 -3 -3 -1 3 3 -2 -3 -2",96,1,-256
525,"1 2 3 -1 3 -2 3 2 -3 -3 -3 -2",192,1,0
526,"1 2 2 3 3 3 -1 -3 -3 -2 -2 -3",192,1,-512
527,"1 2 3 -1 -2 3 -2 -3 -3 -3 2 3",192,1,0
528,"1 2 3 -2 3 -1 3 -2 -3 2 -3 -3",192,1,-128
529,"1 2 3 -2 -3 2 3 3 -1 -3 -2 -3",192,1,128
530,"1 2 3 3 3 -1 2 -3 -3 -3 -2 -2",192,1,-512
531,"1 2 3 3 2 3 -1 -3 -2 -3 -2 -3",192,1,-128
532,"1 2 3 3 2 2 -3 -3 -2 -2 -1 -2",192,1,0
533,"1 2 3 -2 -3 2 -3 -1 3 3 -2 -3",192,1,128
534,"1 2 3 3 -2 -1 -3 -2 3 2 -3 -3",192,1,256
535,"1 2 3 -2 3 2 -3 -2 3 -1 -3 -3",192,1,128
536,"1 2 3 -2 -3 -3 -1 -2 -3 2 3 3",96,1,-256
537,"1 2 3 2 -1 2 -3 -2 -3 -2 3 -2",192,1,0
538,"1 2 3 3 2 -3 -2 -2 3 -1 -3 -3",192,1,256
539,"1 2 3 3 -2 3 -2 -3 -1 -3 2 -3",192,1,-128
540,"1 2 3 3 -2 -3 2 -3 -2 -3 -1 3",192,1,128
541,"1 2 3 -1 -3 -3 -2 -3 2 3 -2 3",192,1,128
542,"1 2 3 3 -2 3 -1 -2 -3 -3 2 -3",96,1,-256
543,"1 2 3 2 -1 -3 -2 3 3 -2 -3 -3",192,1,0
544,"1 2 3 2 -3 -3 -2 3 -2 3 -1 -3",192,1,128
545,"1 2 3 3 -2 -1 -2 -2 -3 -3 2 2",96,1,-512
546,"1 2 3 3 -2 -3 -3 2 2 -1 -2 -2",192,1,512
547,"1 2 3 2 3 -2 -3 -3 -3 -2 -1 3",192,1,256
548,"1 2 3 3 -2 3 -2 -3 -3 -3 -1 2",192,1,-256
549,"1 2 2 3 -2 -3 -3 -1 3 3 -2 -3",192,1,256
550,"1 2 3 -1 -2 -3 -3 2 3 3 -2 -3",192,1,256
551,"1 2 3 -2 -3 -1 -3 -3 2 3 3 -2",192,1,0
552,"1 2 3 2 3 -1 -2 3 -2 -3 -3 -3",192,1,-256
553,"1 2 2 3 -1 -3 -2 3 3 -2 -3 -3",192,1,-256
554,"1 2 2 3 -2 -3 -2 -3 -3 -1 3 3",192,1,256
555,"1 2 3 -1 3 2 3 -2 -3 -3 -3 -2",192,1,0
556,"1 2 3 3 -2 3 -1 2 -3 -3 -3 -2",192,1,-256
557,"1 2 3 -1 -2 3 3 2 -3 -2 -3 -3",192,1,256
558,"1 2 3 3 3 2 -3 -2 -2 -1 -3 -3",192,1,512
559,"1 2 2 3 -2 -3 -3 -2 3 3 -1 -3",192,1,-256
560,"1 2 3 -2 3 3 -2 -3 -1 -3 2 -3",192,1,-128
561,"1 2 3 2 3 -2 3 -1 -3 -3 -3 -2",192,1,-256
562,"1 2 3 2 -3 -2 3 3 -1 -3 -2 -3",192,1,128
563,"1 2 3 -2 3 -2 -3 -3 2 3 -1 -3",192,1,128
564,"1 2 3 2 -1 -2 -3 2 3 -2 -3 -2",192,1,128
565,"1 2 3 3 -2 -2 -3 -3 2 -3 -1 3",192,1,256
566,"1 2 2 3 3 3 -2 -3 -1 -3 -2 -3",192,1,-256
567,"1 2 3 2 3 -1 3 -2 -3 -3 -2 -3",192,1,-128
568,"1 2 3 3 2 -3 -2 -3 -2 -3 -1 3",192,1,-128
569,"1 2 2 3 3 -1 -3 -2 -3 -3 -2 3",192,1,-256
570,"1 2 3 -2 -3 2 3 -2 -3 2 -1 -2",96,1,-128
571,"1 2 3 -2 3 -2 -3 2 -3 -3 -1 3",192,1,128
572,"1 2 3 -1 -2 -3 2 -3 -3 -2 3 3",192,1,0
573,"1 2 3 -2 3 3 2 -3 -3 -3 -1 -2",192,1,-256
574,"1 2 3 2 3 -2 -1 2 -3 -2 -3 -2",96,1,-128
575,"1 2 3 2 -3 -3 -1 3 -2 3 -2 -3",192,1,-128
576,"1 2 3 -2 3 3 2 -3 -3 -2 -1 -3",192,1,256
577,"1 2 3 3 -1 -3 -2 -3 2 3 -2 -3",192,1,128
578,"1 2 3 -2 -1 3 3 2 -3 -3 -2 -3",192,1,0
579,"1 2 3 -1 -2 -3 -3 -2 -3 2 3 3",192,1,0
580,"1 2 3 -1 -3 2 -3 -3 -2 -2 3 3",192,1,-256
581,"1 2 3 -1 -2 3 3 2 -3 -3 -2 -3",192,1,256
582,"1 2 3 -1 2 -3 -3 -3 -2 -2 3 3",192,1,-512
583,"1 2 3 3 2 -3 -1 3 -2 -3 -3 -2",96,1,-256
584,"1 2 3 2 -3 -1 -2 -3 -3 -2 3 3",192,1,-256
585,"1 2 2 3 3 -2 -3 -1 3 -2 -3 -3",192,1,256
586,"1 2 3 2 -3 -2 3 -1 -3 -3 -2 3",192,1,128
587,"1 2 3 -2 -3 -2 -3 -3 -1 3 2 3",192,1,128
588,"1 2 3 2 3 -2 -1 2 -3 -3 -2 -2",192,1,-256
589,"1 2 -1 3 2 3 3 -2 -3 -3 -2 -3",192,1,-256
590,"1 2 3 3 -2 -2 -3 -3 -1 3 2 -3",192,1,-256
591,"1 2 3 3 2 -1 -2 -3 -3 -3 -2 3",192,1,-256
592,"1 2 3 3 2 -3 -3 -2 -1 3 -2 -3",192,1,0
593,"1 2 3 2 -3 -3 -1 3 -2 -3 -2 3",192,1,-128
594,"1 2 3 2 2 -1 -2 -3 -3 -2 3 -2",192,1,-256
595,"1 2 3 2 -3 -3 -2 -2 -1 -2 3 2",192,1,-256
596,"1 2 3 3 -1 -3 -2 3 2 -3 -2 -3",192,1,128
597,"1 2 2 3 -2 3 3 -2 -3 -3 -1 -3",192,1,-256
598,"1 2 2 -1 3 -2 3 3 -2 -3 -3 -3",192,1,-512
599,"1 2 3 -1 -3 -3 -2 -2 3 3 2 -3",192,1,256
600,"1 2 3 -1 -3 -2 -3 -3 2 3 -2 3",192,1,128
601,"1 2 3 3 -1 3 -2 -2 -3 -3 -3 2",192,1,-512
602,"1 2 3 3 -2 -2 -3 -1 -3 -3 2 3",192,1,-256
603,"1 2 3 3 3 -2 -1 -2 -3 -3 -3 2",48,1,-512
604,"1 2 3 3 3 -2 -3 -3 2 -3 -1 -2",192,1,256
605,"1 2 3 -1 2 3 3 -2 -3 -2 -3 -3",192,1,0
606,"1 2 3 -1 3 3 -2 -3 -3 -2 -3 2",192,1,-256
607,"1 2 3 -2 -2 -3 -1 -3 -3 2 3 3",192,1,-256
608,"1 2 3 3 -1 3 -2 -3 2 -3 -3 -2",192,1,0
609,"1 2 3 3 2 -3 -3 -1 3 -2 -2 -3",192,1,-256
610,"1 2 3 -2 -2 3 -1 -3 -3 -3 2 3",192,1,256
611,"1 2 3 -2 3 3 2 -1 -3 -3 -2 -3",192,1,0
612,"1 2 3 -2 3 2 -3 -2 -3 -3 -1 3",192,1,-128
613,"1 2 3 3 -2 3 2 -3 -2 -3 -1 -3",192,1,128
614,"1 2 -1 3 3 2 3 -2 -3 -2 -3 -3",192,1,-256
615,"1 2 3 -2 3 -1 3 2 -3 -2 -3 -3",192,1,128
616,"1 2 -1 3 -2 3 2 -3 -3 -3 -2 3",192,1,0
617,"1 2 3 -1 -2 -2 3 3 2 -3 -3 -3",192,1,512
618,"1 2 3 -2 -3 -3 -2 -1 3 3 2 -3",192,1,0
619,"1 2 3 3 -2 -3 -1 -3 2 -3 -2 3",192,1,128
620,"1 2 3 2 3 3 -2 -2 -3 -3 -1 -3",192,1,-256
621,"1 2 3 3 -2 -3 2 -3 -1 -3 -2 3",192,1,128
622,"1 2 2 3 3 -2 -3 -1 -3 -3 -2 3",192,1,256
623,"1 2 3 -2 3 -1 -3 -3 2 -3 -2 3",192,1,-128
624,"1 2 3 -2 3 -2 -2 -3 -3 2 -1 2",192,1,-256
625,"1 2 3 3 -1 -3 2 3 -2 -2 -3 -3",192,1,256
626,"1 2 3 3 -1 3 -2 -2 -3 -3 2 -3",192,1,-256
627,"1 2 3 2 3 2 -3 -2 -3 -2 -1 -2",192,1,0
628,"1 2 3 -1 -2 -3 -2 -3 -3 2 3 3",192,1,0
629,"1 2 3 -2 -3 -1 -3 -2 3 3 2 -3",192,1,128
630,"1 2 3 -2 -3 -2 3 -1 -3 -3 2 3",192,1,128
631,"1 2 3 2 3 3 -1 -3 -3 -3 -2 -2",192,1,-512
632,"1 2 3 -1 -3 -2 -3 -3 -2 3 2 3",192,1,-128
633,"1 2 3 3 -2 3 -1 -3 2 -3 -2 -3",192,1,-128
634,"1 2 3 2 3 -2 -3 2 -3 -2 -1 -2",192,1,0
635,"1 2 3 -1 -3 2 3 -2 3 -2 -3 -3",192,1,128
636,"1 2 3 2 3 3 -1 -3 -2 -2 -3 -3",192,1,-256
637,"1 2 3 -2 -3 -1 3 3 2 -3 -2 -3",192,1,-128
638,"1 2 3 -1 -3 -3 -3 -2 3 -2 3 2",192,1,0
639,"1 2 3 -2 -1 2 3 -2 -3 2 -3 -2",192,1,128
640,"1 2 3 -1 3 -2 3 -2 -3 -3 2 -3",192,1,-128
641,"1 2 3 2 3 -2 -1 -3 -3 -3 -2 3",192,1,0
642,"1 2 3 2 2 -1 -2 3 -2 -3 -3 -2",192,1,-256
643,"1 2 3 2 -3 -1 3 3 -2 -3 -3 -2",192,1,-256
644,"1 2 -1 3 2 3 -2 -3 -3 -3 -2 3",192,1,0
645,"1 2 2 3 3 -2 -3 -3 -1 3 -2 -3",192,1,256
646,"1 2 3 2 3 -2 -2 -3 -3 -2 -1 2",192,1,0
647,"1 2 3 -2 -2 -1 3 3 2 -3 -3 -3",192,1,0
648,"1 2 3 -1 -3 -2 -2 3 3 2 -3 -3",192,1,256
649,"1 2 3 2 3 -2 -3 -2 -1 -2 -3 2",192,1,-128
650,"1 2 3 -2 -2 -3 -3 -3 -1 2 3 3",192,1,0
651,"1 2 3 3 -1 3 2 -3 -2 -3 -3 -2",192,1,0
652,"1 2 3 -1 -3 2 3 3 -2 -3 -2 -3",192,1,128
653,"1 2 3 -2 -2 3 2 3 -1 -3 -3 -3",192,1,-256
654,"1 2 3 -2 3 2 -3 -3 -2 -2 -1 2",192,1,0
655,"1 2 3 2 -3 -3 -3 -2 -1 3 3 -2",192,1,-256
656,"1 2 3 3 2 -3 -2 -3 -1 -3 -2 3",192,1,-128
657,"1 2 3 2 3 2 -3 -3 -2 -1 -2 -2",192,1,0
658,"1 2 2 3 -1 3 3 -2 -3 -2 -3 -3",192,1,-256
659,"1 2 2 3 -2 3 -1 -3 -3 -3 -2 3",192,1,-256
660,"1 2 -1 2 2 3 3 -2 -3 -3 -2 -2",192,1,0
661,"1 2 3 2 3 -2 3 -1 -2 -3 -3 -3",192,1,-256
662,"1 2 3 3 -2 -1 -3 2 3 -2 -3 -3",192,1,256
663,"1 2 3 -2 3 -2 -3 -3 -2 -1 2 2",192,1,0
664,"1 2 3 2 -3 -2 -3 -3 -1 -2 3 3",192,1,-256
665,"1 2 3 2 -3 -3 -3 -2 3 -2 -1 3",96,1,-256
666,"1 2 3 3 -2 -2 3 2 -3 -3 -1 -3",192,1,256
667,"1 2 3 -1 3 2 -3 -2 3 -2 -3 -3",192,1,128
668,"1 2 3 -2 3 -2 -3 -2 -3 2 -1 2",96,1,-128
669,"1 2 3 2 3 3 -1 -2 -3 -3 -2 -3",192,1,-256
670,"1 2 3 3 -1 -3 2 -3 -2 -3 -2 3",192,1,-128
671,"1 2 3 3 3 -1 -2 -2 -3 -3 2 -3",192,1,-512
672,"1 2 3 3 3 -2 -3 -2 -3 -3 -1 2",192,1,-256
673,"1 2 3 3 -2 -3 2 -3 -2 -2 -1 2",192,1,0
674,"1 2 3 -2 -2 -3 -3 2 3 3 -1 -3",192,1,256
675,"1 2 3 2 -3 -2 -1 -2 -3 2 3 -2",192,1,0
676,"1 2 3 -1 3 3 2 -3 -2 -2 -3 -3",192,1,256
677,"1 2 3 2 3 3 -1 -2 -3 -3 -3 -2",192,1,-256
678,"1 2 3 -2 -3 -3 -2 -1 -3 2 3 3",192,1,0
679,"1 2 3 2 3 2 -1 -2 -3 -2 -3 -2",48,1,-128
680,"1 2 3 3 2 -3 -3 2 -1 -2 -2 -2",96,1,-512
681,"1 2 3 -2 -3 -2 -3 -3 2 -1 3 3",192,1,0
682,"1 2 3 3 3 -1 -3 2 -3 -3 -2 -2",192,1,-512
683,"1 2 3 -2 -3 -3 2 -3 -1 3 3 -2",192,1,256
684,"1 2 3 -1 -3 2 3 3 -2 -3 -3 -2",192,1,256
685,"1 2 2 3 3 -2 -3 -3 -2 3 -1 -3",192,1,-256
686,"1 2 3 -2 -3 -2 -3 2 -3 -1 3 3",192,1,128
687,"1 2 3 -2 -3 -2 3 -1 3 2 -3 -3",192,1,128
688,"1 2 3 3 -1 3 2 -3 -3 -3 -2 -2",192,1,0
689,"1 2 3 3 -2 3 -1 -3 -2 -3 2 -3",192,1,-128
690,"1 2 2 3 -2 3 -1 3 -2 -3 -3 -3",192,1,-256
691,"1 2 2 3 3 -1 3 -2 -3 -3 -2 -3",192,1,-256
692,"1 2 3 -2 -3 -1 3 3 -2 -3 2 -3",192,1,128
693,"1 2 3 -1 2 3 -2 3 -2 -3 -3 -3",192,1,0
694,"1 2 3 2 3 -1 -3 -2 -3 -3 -2 3",192,1,-128
695,"1 2 3 2 3 -1 -3 -3 -2 -3 -2 3",192,1,-128
696,"1 2 3 2 3 -2 -1 3 -2 -3 -3 -3",192,1,0
697,"1 2 3 3 -2 -3 -1 -3 -2 3 2 -3",192,1,128
698,"1 2 3 3 2 -3 2 -3 -2 -2 -1 -2",192,1,0
699,"1 2 3 -2 3 -2 3 -1 -3 -3 2 -3",192,1,-128
700,"1 2 3 -2 -3 -3 -2 3 2 2 -1 -2",192,1,-256
701,"1 2 3 -1 3 -2 -3 -3 -3 2 3 -2",192,1,0
702,"1 2 3 -2 -2 3 2 -1 2 -3 -3 -2",192,1,0
703,"1 2 3 2 3 2 -1 -2 -2 -3 -3 -2",192,1,-256
704,"1 2 3 2 -3 -2 -1 2 -3 -2 3 -2",96,1,128
705,"1 2 3 -1 -2 -3 -3 2 -3 -2 3 3",192,1,0
706,"1 2 3 -1 3 -2 -3 -2 -3 -3 2 3",192,1,-128
707,"1 2 3 3 -2 -1 3 -2 -3 -3 2 -3",192,1,0
